"","Unnamed..0","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"1",2073,1985,8007,79.1972690289182,58.3422017662296,111.168215040233,177,0.593220338983051,0.401129943502825,0.00564971751412429,0,0,0,115,71,43,0,0,0,0,0,1,37.202395,107.050863,46.1877719664428,28.3605553342715,75.8707721863693
"2",2074,1985,34003,54.8994223543928,34.6180757231891,85.780688994763,361,0.28808864265928,0.53185595567867,0.138504155124654,0.0415512465373961,0,0,200,108,67,0.0498614958448753,0.385041551246537,0.185595567867036,0.379501385041551,0,0,40.95909,74.074522,46.1877719664428,28.3605553342715,75.8707721863693
"3",2075,1985,22073,84.1742414875239,62.8832750399565,116.148979365852,360,0.808333333333333,0.144444444444444,0.0416666666666667,0.00555555555555556,0,0,154,71,35,0,0,0.938888888888889,0.0611111111111111,0,0,32.477495,92.154798,46.1877719664428,28.3605553342715,75.8707721863693
"4",2076,1985,48439,53.4493041652748,33.1754683843335,84.1391359255751,365,0.50958904109589,0.323287671232877,0.112328767123288,0.0356164383561644,0.0191780821917808,0,226,126,49,0.0493150684931507,0.208219178082192,0.621917808219178,0.0931506849315069,0,0.0273972602739726,32.77204,97.291291,46.1877719664428,28.3605553342715,75.8707721863693
"5",2077,1985,30111,51.7041967799742,30.8540199223782,83.1462461319329,365,0.142465753424658,0.161643835616438,0.432876712328767,0.263013698630137,0,0,200,183,123,0.10958904109589,0,0,0.89041095890411,0,0,45.936987,108.276656,46.1877719664428,28.3605553342715,75.8707721863693
"6",2078,1985,47055,61.0866952531538,40.6217265910451,92.3088186896992,365,0.819178082191781,0.167123287671233,0.0136986301369863,0,0,0,122,67,33,0,0.0246575342465753,0.528767123287671,0.446575342465753,0,0,35.202723,87.035319,46.1877719664428,28.3605553342715,75.8707721863693
"7",2079,1985,25003,62.6667131359619,42.3897578094103,93.5605957654392,356,0.73876404494382,0.224719101123595,0.0252808988764045,0.0112359550561798,0,0,172,77,40,0,0,0.553370786516854,0.446629213483146,0,0,42.375314,73.213948,46.1877719664428,28.3605553342715,75.8707721863693
"8",2080,1985,41039,44.5938970220867,26.5397968059106,78.0597049682513,365,0.742465753424657,0.191780821917808,0.0602739726027397,0.00547945205479452,0,0,157,76,40,0.391780821917808,0,0.49041095890411,0,0,0.117808219178082,43.928276,122.897678,46.1877719664428,28.3605553342715,75.8707721863693
"9",2081,1985,17001,56.608927466726,46.5439346021466,72.2080552489539,363,0.724517906336088,0.184573002754821,0.0909090909090909,0,0,0,142,97,37,0,0,0.727272727272727,0.272727272727273,0,0,39.986053,91.194961,46.1877719664428,28.3605553342715,75.8707721863693
"10",2082,1985,1097,58.157186295403,44.1185815163291,83.7952562791923,302,0.639072847682119,0.248344370860927,0.102649006622517,0.00993377483443709,0,0,198,101,44,0,0,0.672185430463576,0.248344370860927,0,0.0794701986754967,30.684573,88.196568,46.1877719664428,28.3605553342715,75.8707721863693
"11",2083,1985,37021,53.9206325159737,38.9067956313858,81.5748834066659,192,0.770833333333333,0.229166666666667,0,0,0,0,100,71,40,0,0,1,0,0,0,35.609371,82.530426,46.1877719664428,28.3605553342715,75.8707721863693
"12",2084,1985,6067,58.9687599845816,48.4767664119924,75.545458884664,365,0.408219178082192,0.367123287671233,0.131506849315068,0.0575342465753425,0.0356164383561644,0,259,143,58,0.23013698630137,0.227397260273973,0.53972602739726,0.00273972602739726,0,0,38.450011,121.340441,46.1877719664428,28.3605553342715,75.8707721863693
