,index,Unnamed: 0,FIPS,both_gender_resp_mort,cause_id,cause_name,female_resp_mort,location_id,male_resp_mort,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
2,2,alabama_jackson,1071.0,41.84071561965921,508,Chronic respiratory diseases,15.245708295979998,577,82.5825380473844,1980,366,0.23224043715846995,0.3005464480874317,0.25136612021857924,0.21584699453551912,0.0,0.0,200,200,94,0.0,0.0,0.0,1.0,0.0,0.0
6,6,alabama_mobile,1097.0,43.78033030328,508,Chronic respiratory diseases,25.2547877530872,640,76.0480434432728,1980,286,0.6293706293706294,0.2167832167832168,0.12237762237762237,0.02797202797202797,0.0034965034965034965,0.0,204,119,41,0.0,0.0,0.23776223776223776,0.7622377622377622,0.0,0.0
10,10,alaska_fairbanks north star ,2090.0,45.7313820578085,508,Chronic respiratory diseases,31.2441257097264,643,61.562576730610296,1980,356,0.6713483146067416,0.2247191011235955,0.06741573033707865,0.02808988764044944,0.008426966292134831,0.0,210,103,33,1.0,0.0,0.0,0.0,0.0,0.0
14,14,arizona_gila,4007.0,47.038995622074296,508,Chronic respiratory diseases,26.499813796617303,673,74.2255009985978,1980,366,0.2404371584699453,0.01092896174863388,0.1557377049180328,0.592896174863388,0.0,0.0,200,200,173,0.0,0.0,0.0,1.0,0.0,0.0
28,28,california_fresno,6019.0,47.1518097285829,508,Chronic respiratory diseases,29.809955682776998,798,73.4554429157125,1980,366,0.19398907103825136,0.3524590163934426,0.2103825136612022,0.1366120218579235,0.10655737704918032,0.0,238,201,90,0.09836065573770493,0.3278688524590164,0.5737704918032787,0.0,0.0,0.0
35,35,california_los angeles,6037.0,39.61508120628171,508,Chronic respiratory diseases,27.9405878792321,814,60.6411980774012,1980,366,0.016393442622950817,0.2021857923497268,0.2185792349726776,0.1284153005464481,0.4262295081967213,0.008196721311475409,386,278,168,0.19672131147540986,0.2540983606557377,0.5464480874316939,0.00273224043715847,0.0,0.0
36,36,california_marin,6041.0,46.5005341254848,508,Chronic respiratory diseases,39.148568889415,787,61.2296659494505,1980,366,0.7759562841530054,0.1912568306010929,0.032786885245901634,0.0,0.0,0.0,115,68,38,0.07103825136612021,0.6639344262295082,0.2650273224043716,0.0,0.0,0.0
38,38,california_mono,6051.0,39.8511839798661,508,Chronic respiratory diseases,26.733541898859,783,53.9367299138168,1980,190,0.8315789473684211,0.16842105263157894,0.0,0.0,0.0,0.0,91,59,24,1.0,0.0,0.0,0.0,0.0,0.0
39,39,california_monterey,6053.0,45.37159471065289,508,Chronic respiratory diseases,31.6424766373827,803,67.59549283812329,1980,366,0.8688524590163934,0.1092896174863388,0.01366120218579235,0.00546448087431694,0.00273224043715847,0.0,203,57,37,0.00546448087431694,0.2896174863387978,0.7049180327868853,0.0,0.0,0.0
48,48,california_san francisco,6075.0,46.37869472810621,508,Chronic respiratory diseases,30.5835087935997,794,70.8450735432416,1980,366,0.7650273224043715,0.1994535519125683,0.035519125683060114,0.0,0.0,0.0,127,79,38,0.14207650273224046,0.6202185792349727,0.22131147540983606,0.016393442622950817,0.0,0.0
52,52,california_santa barbara,6083.0,42.0697578614617,508,Chronic respiratory diseases,29.3814616805889,811,63.5272647369563,1980,366,0.3497267759562841,0.5081967213114754,0.1174863387978142,0.01912568306010929,0.00546448087431694,0.0,213,108,61,0.08743169398907104,0.19398907103825136,0.6639344262295082,0.0546448087431694,0.0,0.0
