,index,Unnamed: 0,Both,FIPS,Female,Male,cause_id,cause_name,location_id,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
2,2,georgia_chatham,2.00553256067733,13051.0,1.769092175401,2.4740648581531297,515,Asthma,1082,1980,330,0.912121212121212,0.0696969696969697,0.01818181818181818,0.0,0.0,0.0,108,46,17,0.0,0.0,0.0,1.0,0.0,0.0
6,6,georgia_floyd,1.6664061343435002,13115.0,1.6833126769308,1.7241630784498,515,Asthma,975,1980,326,0.7515337423312883,0.20245398773006132,0.04601226993865031,0.0,0.0,0.0,134,80,24,0.0,0.0,0.0,1.0,0.0,0.0
10,10,georgia_muscogee,2.5689014816852405,13215.0,2.27154453648655,3.17467923249111,515,Asthma,1050,1980,149,0.7181208053691275,0.20134228187919465,0.06711409395973154,0.013422818791946308,0.0,0.0,166,100,38,0.0,0.0,0.8187919463087249,0.1812080536912752,0.0,0.0
14,14,georgia_wheeler,2.34531883871827,13309.0,1.84826882231721,3.0073213017510803,515,Asthma,1064,1980,161,1.0,0.0,0.0,0.0,0.0,0.0,24,6,6,0.0,0.0,0.0,1.0,0.0,0.0
28,28,illinois_macon,2.4527116487236698,17115.0,2.52532338728626,2.3695047018429,515,Asthma,1204,1980,355,0.5802816901408451,0.2591549295774648,0.1267605633802817,0.03380281690140845,0.0,0.0,200,116,43,0.0,0.0,0.428169014084507,0.571830985915493,0.0,0.0
35,35,illinois_saint clair,2.19649910318603,17163.0,1.7908194470457,2.84288086373313,515,Asthma,1233,1980,359,0.2479108635097493,0.36768802228412256,0.2395543175487465,0.1392757660167131,0.0055710306406685246,0.0,219,163,81,0.016713091922005572,0.0,0.12534818941504178,0.8579387186629527,0.0,0.0
36,36,illinois_sangamon,2.61053439529244,17167.0,2.57307824839198,2.7149516661182003,515,Asthma,1205,1980,351,0.39601139601139596,0.3076923076923077,0.19373219373219366,0.10256410256410256,0.0,0.0,200,151,62,0.33903133903133903,0.0,0.2478632478632479,0.4131054131054131,0.0,0.0
38,38,illinois_wabash,1.6303747545116698,17185.0,1.63385764929981,1.67906569214234,515,Asthma,1236,1980,171,0.2573099415204678,0.4736842105263158,0.17543859649122806,0.0935672514619883,0.0,0.0,200,147,67,0.0,0.0,0.0,1.0,0.0,0.0
39,39,illinois_will,1.64435335236179,17197.0,1.71060867382592,1.5773556986976105,515,Asthma,1169,1980,358,0.4553072625698324,0.38826815642458096,0.1452513966480447,0.0111731843575419,0.0,0.0,190,110,54,0.15363128491620112,0.0,0.30446927374301674,0.5418994413407822,0.0,0.0
48,48,indiana_fountain,1.74736256463508,18045.0,1.60069432041867,1.9930536211219,515,Asthma,1301,1980,211,0.5876777251184834,0.2417061611374408,0.13270142180094788,0.03791469194312797,0.0,0.0,200,119,44,0.0,0.0,0.0,1.0,0.0,0.0
52,52,indiana_howard,1.68781190895435,18067.0,1.54167864582003,1.94278169547632,515,Asthma,1294,1980,283,0.8904593639575972,0.09540636042402828,0.01413427561837456,0.0,0.0,0.0,134,54,20,0.0,0.0,0.0,1.0,0.0,0.0
57,57,indiana_lake,1.94577355362472,18089.0,1.86498202997637,2.0953070880476896,515,Asthma,1269,1980,366,0.14207650273224046,0.27595628415300544,0.4016393442622951,0.17759562841530055,0.00273224043715847,0.0,214,172,107,0.0,0.0,0.1010928961748634,0.8989071038251366,0.0,0.0
58,58,indiana_laporte,1.7062296407048,18091.0,1.67231428370056,1.81243720752512,515,Asthma,1356,1980,364,0.3736263736263736,0.38461538461538464,0.20604395604395606,0.03571428571428571,0.0,0.0,183,123,65,0.0,0.0,0.0,1.0,0.0,0.0
